Floor,equipment_type,wes_id,equipment_POST_url,equipment_GET_url,sensor_POST_url
1F,ASRS_IPORT,IPT_101,http://192.168.168.60:5840/EAP/EAP/ASRS_1/GW2799/Methods/IPT_101,http://192.168.168.60:5840/EAP/EAP/ASRS_1/GW2799/GeneralParam/IPT_101,http://192.168.168.60:5840/EAP/EAP/RFID_IPT_101/GW2799/Methods/executeAllSteps
1F,ASRS_OPORT,OPT_101,http://192.168.168.60:5840/EAP/EAP/ASRS_2/GW2799/Methods/OPT_101,http://192.168.168.60:5840/EAP/EAP/ASRS_2/GW2799/GeneralParam/OPT_101,http://192.168.168.60:5840/EAP/EAP/RFID_OPT_101/GW2799/Methods/executeAllSteps
1F,ASRS_IPORT,IPT_102,http://192.168.168.60:5840/EAP/EAP/ASRS_2/GW2799/Methods/IPT_102,http://192.168.168.60:5840/EAP/EAP/ASRS_2/GW2799/GeneralParam/IPT_102,http://192.168.168.60:5840/EAP/EAP/RFID_IPT_102/GW2799/Methods/executeAllSteps
1F,ASRS_OPORT,OPT_102,http://192.168.168.60:5840/EAP/EAP/ASRS_3/GW2799/Methods/OPT_102,http://192.168.168.60:5840/EAP/EAP/ASRS_3/GW2799/GeneralParam/OPT_102,http://192.168.168.60:5840/EAP/EAP/RFID_OPT_102/GW2799/Methods/executeAllSteps
1F,ASRS_IPORT,IPT_103,http://192.168.168.60:5840/EAP/EAP/ASRS_3/GW2799/Methods/IPT_103,http://192.168.168.60:5840/EAP/EAP/ASRS_3/GW2799/GeneralParam/IPT_103,http://192.168.168.60:5840/EAP/EAP/RFID_IPT_103/GW2799/Methods/executeAllSteps
1F,ASRS_OPORT,OPT_103,http://192.168.168.60:5840/EAP/EAP/ASRS_4/GW2799/Methods/OPT_103,http://192.168.168.60:5840/EAP/EAP/ASRS_4/GW2799/GeneralParam/OPT_103,http://192.168.168.60:5840/EAP/EAP/RFID_OPT_103/GW2799/Methods/executeAllSteps
1F,ASRS_IPORT,IPT_104,http://192.168.168.60:5840/EAP/EAP/ASRS_4/GW2799/Methods/IPT_104,http://192.168.168.60:5840/EAP/EAP/ASRS_4/GW2799/GeneralParam/IPT_104,http://192.168.168.60:5840/EAP/EAP/RFID_IPT_104/GW2799/Methods/executeAllSteps
1F,ASRS_OPORT,OPT_104,http://192.168.168.60:5840/EAP/EAP/ASRS_5/GW2799/Methods/OPT_104,http://192.168.168.60:5840/EAP/EAP/ASRS_5/GW2799/GeneralParam/OPT_104,http://192.168.168.60:5840/EAP/EAP/RFID_OPT_104/GW2799/Methods/executeAllSteps
1F,ASRS_IPORT,IPT_105,http://192.168.168.60:5840/EAP/EAP/ASRS_5/GW2799/Methods/IPT_105,http://192.168.168.60:5840/EAP/EAP/ASRS_5/GW2799/GeneralParam/IPT_105,http://192.168.168.60:5840/EAP/EAP/RFID_IPT_105/GW2799/Methods/executeAllSteps
1F,ASRS_OPORT,OPT_105,http://192.168.168.60:5840/EAP/EAP/ASRS_6/GW2799/Methods/OPT_105,http://192.168.168.60:5840/EAP/EAP/ASRS_6/GW2799/GeneralParam/OPT_105,http://192.168.168.60:5840/EAP/EAP/RFID_OPT_105/GW2799/Methods/executeAllSteps
